City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
258,Kokopo,PG,-4.35,152.26,80.87,75,100,1.95,overcast clouds
259,Quatre Cocos,MU,-20.21,57.76,70.0,88,75,8.86,light intensity shower rain
260,Nanortalik,GL,60.14,-45.24,40.48,78,90,10.76,overcast clouds
261,Praya,CV,14.92,-23.51,78.8,88,91,4.7,overcast clouds
262,Shakawe,BW,-18.37,21.85,71.1,23,8,6.35,clear sky
263,Taltal,CL,-25.4,-70.48,66.09,55,22,6.87,few clouds
264,Adelaide,AU,-34.93,138.6,57.0,76,90,12.75,shower rain
265,Sosnovo-Ozerskoye,RU,52.52,111.54,24.44,87,98,15.35,overcast clouds
266,Hualmay,PE,-11.1,-77.61,66.96,72,27,10.02,scattered clouds
267,Leningradskiy,RU,69.38,178.42,34.41,89,63,6.24,broken clouds
268,Hofn,IS,64.25,-15.21,44.08,65,0,13.91,clear sky
269,Beckley,US,37.78,-81.19,53.6,40,1,5.82,clear sky
270,Christchurch,NZ,-43.53,172.63,54.0,71,88,10.29,overcast clouds
271,Kruisfontein,ZA,-34.0,24.73,59.0,92,0,1.01,clear sky
272,Sergeyevka,KZ,53.88,67.42,51.71,52,98,12.1,overcast clouds
273,Erdenet,MN,49.03,104.08,28.54,94,2,3.89,clear sky
274,Meulaboh,ID,4.14,96.13,76.41,83,100,3.38,overcast clouds
275,Goundi,TD,9.36,17.37,73.62,83,0,4.9,clear sky
276,Bergen,NO,60.39,5.33,46.4,81,40,18.34,light rain
277,Ascension,US,30.22,-90.9,66.99,72,90,8.05,overcast clouds
278,Nassau,US,40.75,-73.58,53.01,95,100,1.01,light rain
279,Przhevalskoye,RU,55.51,31.85,38.71,76,89,3.44,overcast clouds
280,Palmer,US,42.16,-72.33,52.0,93,90,6.93,moderate rain
281,Maralal,KE,1.1,36.7,61.81,78,97,7.54,overcast clouds
282,Loikaw,MM,19.67,97.21,67.8,95,100,1.74,overcast clouds
283,Margate,GB,51.38,1.39,52.0,71,90,1.99,overcast clouds
284,Iskateley,RU,67.68,53.15,30.63,99,96,5.26,overcast clouds
285,Narsaq,GL,60.92,-46.05,39.2,64,94,2.24,overcast clouds
286,Port Antonio,JM,18.18,-76.46,84.99,83,75,9.17,broken clouds
287,Blagodatnoye,RU,45.4,42.59,59.0,67,21,6.71,few clouds
288,Xining,CN,36.62,101.77,35.74,78,20,2.73,few clouds
289,Dolinsk,RU,47.35,142.8,26.6,92,0,7.99,clear sky
290,Lagoa,PT,39.05,-27.98,63.95,66,70,9.17,broken clouds
291,Zilupe,LV,56.39,28.12,33.82,94,7,2.59,clear sky
292,Acapulco,MX,16.86,-99.89,87.8,70,90,6.93,overcast clouds
293,Coracao De Jesus,BR,-16.69,-44.37,78.91,49,55,6.08,broken clouds
294,Lubao,PH,14.92,120.55,77.0,88,40,2.24,light rain
295,Portland,US,45.52,-122.68,70.0,52,75,1.68,broken clouds
296,Lagunas,PE,-5.23,-75.68,82.87,74,43,2.91,light rain
297,Surt,LY,31.21,16.59,75.34,87,86,9.78,overcast clouds
298,Poum,NC,-20.23,164.02,73.13,74,1,7.96,clear sky
299,Tadine,NC,-21.55,167.88,72.5,77,41,17.98,scattered clouds
300,Bobo Dioulasso,BF,11.18,-4.3,77.0,78,20,4.45,thunderstorm
301,Alta Floresta,BR,-9.88,-56.09,85.5,42,40,3.78,scattered clouds
302,Pisco,PE,-13.7,-76.22,69.8,68,5,19.46,clear sky
303,Namatanai,PG,-3.67,152.43,83.01,69,100,6.58,overcast clouds
304,Mujiayingzi,CN,42.12,118.78,40.75,60,0,9.55,clear sky
305,Raymondville,US,26.48,-97.78,71.6,82,90,11.41,overcast clouds
306,San Cristobal,VE,7.77,-72.22,95.0,34,20,19.46,few clouds
307,Alyangula,AU,-13.85,136.42,69.8,100,40,8.7,scattered clouds
308,San Patricio,US,28.02,-97.52,64.4,72,90,12.75,overcast clouds
309,Maniitsoq,GL,65.42,-52.9,40.26,91,100,33.08,moderate rain
310,Pashiya,RU,58.43,58.26,32.67,93,84,2.71,broken clouds
311,George Town,MY,5.41,100.34,78.8,94,20,1.12,light rain
312,Saldanha,ZA,-33.01,17.94,60.8,82,0,11.41,clear sky
313,Aklavik,CA,68.22,-135.01,23.0,57,75,10.29,broken clouds
314,Kaduy,RU,59.2,37.15,30.2,100,75,4.47,broken clouds
315,Tual,ID,-5.67,132.75,80.73,78,96,15.46,overcast clouds
316,Shizunai,JP,42.33,142.37,52.11,74,78,5.3,broken clouds
317,Saint-Francois,FR,46.42,3.91,46.4,93,75,3.36,broken clouds
318,Morro Da Fumaca,BR,-28.65,-49.21,62.35,86,0,6.8,clear sky
319,Muroto,JP,33.28,134.15,60.8,77,75,10.29,light rain
320,Okhotsk,RU,59.38,143.3,24.62,84,1,11.68,clear sky
321,Russkaya Polyana,UA,49.42,31.92,54.21,83,68,6.96,broken clouds
322,Esna,EG,25.29,32.55,82.4,37,0,3.36,clear sky
323,Fiumicino,IT,41.77,12.23,55.4,93,40,5.82,scattered clouds
324,Nosy Varika,MG,-20.58,48.53,71.02,91,22,3.56,light rain
325,Padilla,CO,3.22,-76.31,86.0,58,75,12.75,broken clouds
326,Vila Do Maio,CV,15.13,-23.22,78.8,88,100,4.7,overcast clouds
327,Kushima,JP,31.46,131.23,60.8,93,75,10.29,mist
328,Zambezi,ZM,-13.54,23.1,72.97,41,0,6.35,clear sky
329,Vengerovo,RU,55.68,76.75,47.01,64,90,13.31,overcast clouds
330,Ardesen,TR,41.19,40.99,62.6,82,0,12.75,clear sky
331,Berezovyy,RU,51.67,135.7,34.02,82,98,6.96,overcast clouds
332,Salaga,GH,8.55,-0.52,77.54,88,100,4.7,overcast clouds
333,Sitka,US,57.05,-135.33,49.32,64,74,4.7,light rain
334,Cootamundra,AU,-34.65,148.03,57.99,83,100,3.0,overcast clouds
335,Naryan-Mar,RU,67.67,53.09,30.92,99,98,6.51,overcast clouds
336,Valenca Do Piaui,BR,-6.41,-41.75,87.84,26,84,2.68,broken clouds
337,Bermejo,AR,-32.88,-68.8,86.0,25,40,5.82,scattered clouds
